I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,JMAT.L,Johnson Matthey Plc,Basic Materials,Specialty Chemicals,2.33,1755.00 - 1814.55,1793.00 - 1865.11,38.00 - 110.11,1845.00,233.12,429290,4,0.837,3
@_,JMG.L,JPMorgan Emerging Markets Ord,Financial Services,Asset Management,6.00,119.60 - 119.60,121.11 - 121.11,1.51 - 1.51,121.00,61.91,1539934,6,UNKNOWN,1
@_,JNEO.L,Journeo plc,Industrials,Security & Protection Services,0.50,372.48 - 388.00,383.00 - 392.90,10.52 - 20.42,390.00,420.07,21856,2,0.056,4
*_,JOG.L,Jersey Oil and Gas Plc,Energy,Oil & Gas E&P,0.00,108.00 - 109.00,110.00 - 111.90,2.00 - 3.90,97.50,383.50,94101,3,0.22,3
*_,JSE.L,Jadestone Energy plc,Energy,Oil & Gas E&P,1.50,19.90 - 20.57,20.12 - 21.00,0.23 - 1.10,19.51,159.71,366853,4,0.732,2
*_,JSG.L,Johnson Service Group PLC,Industrials,Specialty Business Services,0.50,139.40 - 140.00,141.40 - 142.80,2.00 - 3.40,139.80,168.00,1637822,6,1.617,2
@_,JTC.L,JTC PLC,Financial Services,Asset Management,2.50,896.50 - 902.00,915.00 - 922.69,18.50 - 26.19,911.00,195.95,677108,5,0.784,2
@_,JUP.L,Jupiter Fund Management Plc,Financial Services,Asset Management,1.00,122.60 - 123.40,124.20 - 131.40,1.60 - 8.80,126.40,384.00,1080726,6,1.108,2
@_,JUSC.L,JPMorgan US Smaller Companies Ord,Financial Services,Asset Management,2.00,389.00 - 389.00,403.37 - 403.37,14.37 - 14.37,398.00,172.44,122480,3,UNKNOWN,1
@_,JUST.L,Just Group plc,Financial Services,Insurance Specialty,2.00,210.00 - 210.00,213.50 - 213.50,3.50 - 3.50,211.50,80.50,16884735,8,1.312,1
@_,KAV.L,Kavango Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.00,1.00 - 1.07,1.08 - 1.15,0.08 - 0.15,1.08,2434.72,1565302,6,0.114,9
*_,KDNC.L,Cadence Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.11,1.80 - 1.92,1.92 - 2.11,0.12 - 0.31,1.80,2879.39,938934,5,1.679,9
*_,KDR.L,Karelian Diamond Resources Plc,Basic Materials,Other Precious Metals & Mining,0.71,0.56 - 0.61,0.61 - 0.65,0.05 - 0.08,0.60,2395.48,1382846,6,0.498,7
@_,KEFI.L,KEFI Gold and Copper Plc,Basic Materials,Gold,0.22,0.54 - 0.55,0.55 - 0.57,0.02 - 0.04,0.60,1283.86,32527234,8,1.093,9
@_,KEN.L,Kendrick Resources PLC,Basic Materials,Other Industrial Metals & Mining,0.00,0.26 - 0.26,0.28 - 0.28,0.02 - 0.02,0.28,1153.80,262107,4,-0.531,3
*_,KETL.L,Strix Group Plc,Technology,Electronic Components,0.20,39.89 - 41.10,40.65 - 41.75,0.76 - 1.86,40.00,470.24,491667,4,0.599,5
*_,KEYS.L,Keystone Law Group plc,Industrials,Specialty Business Services,0.33,612.00 - 612.00,619.00 - 620.24,7.00 - 8.24,591.00,357.52,18799,2,0.053,6
*_,KGF.L,Kingfisher plc,Consumer Cyclical,Home Improvement Retail,0.67,271.10 - 275.30,274.10 - 278.20,3.00 - 7.10,269.50,172.80,4516855,6,0.765,3
*_,KGH.L,Knights Group Holdings plc,Industrials,Specialty Business Services,0.75,170.50 - 176.11,175.50 - 184.00,5.00 - 13.50,174.63,695.10,116719,3,1.368,4
*_,KIE.L,Kier Group plc,Industrials,Engineering & Construction,2.00,203.50 - 208.12,209.00 - 211.94,5.50 - 8.44,205.50,332.88,903558,5,1.256,3
*_,KIST.L,Kistos Holdings Plc,Energy,Oil & Gas E&P,0.29,160.00 - 166.10,163.45 - 169.00,3.45 - 9.00,159.00,688.49,128857,3,0.464,7
*_,KITW.L,Kitwave Group plc,Consumer Defensive,Food Distribution,1.50,233.00 - 233.00,235.65 - 237.00,2.65 - 4.00,228.00,139.65,327331,4,0.864,2
*_,KLR.L,Keller Group plc,Industrials,Engineering & Construction,2.00,1340.00 - 1346.00,1372.00 - 1380.00,32.00 - 40.00,1314.00,198.00,128750,3,1.179,2
@_,KLSO.L,Kelso Group Holdings Plc,Financial Services,Asset Management,1.25,2.80 - 2.90,2.94 - 3.03,0.14 - 0.23,3.03,965.66,300623,4,1.649,4
*_,KMK.L,Kromek Group plc,Technology,Scientific & Technical Instruments,0.83,5.07 - 5.14,5.20 - 5.38,0.13 - 0.32,5.10,775.18,744162,5,0.629,6
@_,KMR.L,Kenmare Resources plc,Basic Materials,Other Industrial Metals & Mining,0.50,312.00 - 326.00,318.00 - 341.27,6.00 - 29.27,336.50,596.55,68185,3,0.397,4
*_,KNOS.L,Kainos Group plc,Technology,Software Application,0.50,684.39 - 705.50,692.00 - 714.00,7.61 - 29.61,687.50,112.77,164834,3,0.682,2
@_,KOD.L,Kodal Minerals PLC,Basic Materials,Other Industrial Metals & Mining,2.50,0.34 - 0.34,0.38 - 0.38,0.03 - 0.04,0.37,1167.84,48588856,8,0.021,2
@_,KOO.L,Kooth plc,Healthcare,Health Information Services,3.00,153.00 - 155.50,157.00 - 158.00,4.00 - 5.00,158.00,208.00,31081,2,0.943,2
*_,KOS.L,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,0.00,136.00 - 137.00,142.00 - 145.00,6.00 - 9.00,132.00,504.00,14742,2,1.491,2
@_,KP2.L,Kore Potash plc,Basic Materials,Other Industrial Metals & Mining,1.17,2.50 - 2.95,2.67 - 3.30,0.17 - 0.80,3.15,1813.71,1776817,6,0.94,6
@_,KRM.L,KRM22 Plc,Financial Services,Asset Management,2.50,40.00 - 43.00,45.00 - 45.50,5.00 - 5.50,45.50,915.00,6969,1,-0.029,2
@_,KRS.L,Keras Resources Plc,Basic Materials,Other Industrial Metals & Mining,1.33,1.20 - 1.30,1.40 - 1.50,0.20 - 0.30,1.50,2403.60,85673,3,0.026,3
@_,KYGA.L,Kerry Group plc,Consumer Defensive,Packaged Foods,3.00,79.60 - 79.75,81.40 - 82.00,1.80 - 2.40,81.00,251.10,64532,3,0.643,2
*_,KZG.L,Kazera Global plc,Financial Services,Asset Management,0.00,1.70 - 1.75,1.77 - 1.80,0.07 - 0.10,1.73,1106.46,1123763,6,1.301,6
@_,LABS.L,Life Science REIT Ord,Real Estate,REIT Healthcare Facilities,0.25,37.10 - 37.30,37.50 - 37.84,0.40 - 0.74,37.64,261.30,753330,5,UNKNOWN,4
*_,LAND.L,Land Securities Group Plc,Real Estate,REIT Diversified,0.00,577.00 - 579.50,587.00 - 588.50,10.00 - 11.50,572.50,152.00,1848227,6,1.302,2
@_,LAS.L,London & Associated Properties Plc,Real Estate,Real Estate Services,0.00,8.27 - 8.27,9.00 - 9.00,0.73 - 0.73,9.00,440.92,3763,1,0.098,1
*_,LBG.L,LBG Media plc,Communication Services,Publishing,0.25,95.25 - 96.00,97.00 - 99.76,1.75 - 4.51,95.30,604.76,47529,2,0.698,4
@_,LDG.L,Logistics Development Group plc,Industrials,Integrated Freight & Logistics,0.80,15.50 - 16.15,16.08 - 16.50,0.58 - 1.00,16.00,827.97,231003,4,0.217,5
@_,LEND.L,Sancus Lending Group Limited,Financial Services,Credit Services,0.00,0.42 - 0.43,0.45 - 0.47,0.03 - 0.05,0.45,1178.10,413055,4,0.837,3
@_,LEX.L,Lexington Gold Ltd,Basic Materials,Gold,0.00,3.70 - 3.74,3.80 - 3.85,0.10 - 0.15,3.85,590.92,206799,4,-0.445,4
@_,LGEN.L,Legal & General Group Plc,Financial Services,Asset Management,2.00,253.90 - 257.10,256.72 - 264.20,2.82 - 10.30,262.50,294.88,18239826,8,1.167,3
@_,LIFS.L,LifeSafe Holdings plc,Industrials,Building Products & Equipment,0.00,3.10 - 3.10,3.25 - 3.25,0.15 - 0.15,3.25,483.60,33997,2,0.241,2
@_,LIKE.L,Likewise Group Plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,1.00,25.00 - 26.00,25.70 - 27.67,0.70 - 2.67,26.00,845.40,502628,5,0.9,3
*_,LINV.L,LendInvest plc,Financial Services,Mortgage Finance,0.00,38.15 - 38.75,38.70 - 40.30,0.55 - 2.15,38.50,333.92,35233,2,0.359,3
*_,LIO.L,Liontrust Asset Management PLC,Financial Services,Asset Management,1.20,351.42 - 371.50,361.20 - 381.98,9.78 - 30.56,371.00,601.28,462676,4,1.304,5
@_,LIT.L,Litigation Capital Management Limited,Financial Services,Credit Services,0.14,33.50 - 36.10,35.30 - 37.40,1.80 - 3.90,37.70,1454.67,455076,4,0.145,7
@_,LLOY.L,Lloyds Banking Group plc,Financial Services,Banks Regional,1.00,80.02 - 82.70,80.98 - 83.67,0.96 - 3.65,82.86,277.76,160598091,10,1.103,4
@_,LMP.L,LondonMetric Property Plc,Real Estate,REIT Industrial,1.00,187.80 - 187.80,190.50 - 190.50,2.70 - 2.70,189.13,70.20,8133317,7,0.836,1
*_,LND.L,Landore Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.33,2.48 - 2.53,2.57 - 2.77,0.09 - 0.29,2.50,837.12,1617083,6,-0.609,3
@_,LORD.L,Lords Group Trading plc,Industrials,Industrial Distribution,1.00,40.50 - 42.00,41.88 - 43.00,1.38 - 2.50,42.00,432.12,41838,2,1.303,3
*_,LRE.L,Lancashire Holdings Limited,Financial Services,Insurance Specialty,1.67,609.00 - 624.00,618.00 - 631.00,9.00 - 22.00,604.00,208.00,414446,4,0.532,3
*_,LSL.L,LSL Property Services plc,Real Estate,Real Estate Services,0.00,274.98 - 276.00,279.00 - 287.00,4.02 - 12.02,271.00,270.36,60974,3,0.736,2
*_,LST.L,Light Science Technologies Holdings Plc,Technology,Electronic Components,0.50,3.13 - 3.80,3.25 - 3.90,0.12 - 0.77,3.05,797.95,2406581,6,-0.863,4
@_,LTHM.L,James Latham plc,Basic Materials,Lumber & Wood Production,0.20,1104.66 - 1118.00,1119.00 - 1132.00,14.34 - 27.34,1125.00,358.96,5478,1,0.559,5
*_,LTI.L,Lindsell Train Ord,Financial Services,Asset Management,1.33,797.00 - 832.02,820.00 - 844.76,23.00 - 47.76,802.00,286.44,372,1,UNKNOWN,3
@_,LUCE.L,Luceco plc,Industrials,Electrical Equipment & Parts,1.50,122.60 - 126.40,127.80 - 128.40,5.20 - 5.80,125.40,286.60,121176,3,1.07,2
@_,LWDB.L,Law Debenture Corporation Ord,Financial Services,Asset Management,6.00,997.38 - 997.38,1014.00 - 1014.00,16.62 - 16.62,1006.95,83.10,167570,3,UNKNOWN,1
@_,LWI.L,Lowland Ord,Financial Services,Asset Management,1.00,143.00 - 145.50,144.48 - 147.50,1.48 - 4.50,147.61,253.64,282391,4,UNKNOWN,4
*_,MAB.L,Mitchells & Butlers plc,Consumer Cyclical,Restaurants,2.00,267.00 - 267.00,270.00 - 270.88,3.00 - 3.88,265.01,123.84,356628,4,1.543,2
*_,MAB1.L,Mortgage Advice Bureau (Holdings) plc,Financial Services,Mortgage Finance,0.00,802.00 - 812.00,818.50 - 838.00,16.50 - 36.00,778.00,255.00,47851,2,0.954,2
@_,MAC.L,Marechale Capital Plc,Financial Services,Capital Markets,1.00,1.96 - 1.96,2.05 - 2.05,0.09 - 0.09,2.05,688.59,94335,3,0.654,3
*_,MACF.L,Macfarlane Group PLC,Consumer Cyclical,Packaging & Containers,1.00,94.42 - 98.49,96.39 - 100.50,1.97 - 6.08,95.20,202.94,609973,5,0.595,2
*_,MAFL.L,Mineral & Financial Investments Limited,Financial Services,Asset Management,0.00,23.15 - 24.30,24.00 - 25.31,0.85 - 2.16,24.00,822.08,11436,2,0.698,3
@_,MAI.L,Maintel Holdings Plc,Communication Services,Telecom Services,0.33,180.00 - 185.00,189.00 - 190.00,9.00 - 10.00,185.00,566.73,4780,1,0.073,3
@_,MAJE.L,Majedie Investments Ord,Financial Services,Asset Management,0.60,244.15 - 247.62,249.70 - 252.00,5.55 - 7.85,248.89,492.40,41019,2,UNKNOWN,5
@_,MANO.L,Manolete Partners Plc,Industrials,Consulting Services,0.80,77.55 - 83.00,82.00 - 84.40,4.45 - 6.85,84.00,793.96,482901,4,0.692,5
*_,MARS.L,Marston's PLC,Consumer Cyclical,Restaurants,0.00,41.17 - 41.51,41.75 - 41.95,0.58 - 0.78,39.55,178.18,1256500,6,1.267,3
@_,MAST.L,MAST Energy Developments PLC,Utilities,Utilities Renewable,0.50,57.22 - 75.50,63.38 - 79.90,6.15 - 22.68,79.50,2505.99,296324,4,0.643,6
@_,MATD.L,Petro Matad Limited,Energy,Oil & Gas E&P,3.50,0.80 - 0.80,0.81 - 0.81,0.01 - 0.01,0.81,125.18,3641715,6,1.481,2
*_,MBH.L,Michelmersh Brick Holdings plc,Basic Materials,Building Materials,0.33,103.88 - 105.22,105.00 - 107.00,1.12 - 3.12,104.20,230.01,131862,3,0.992,3
*_,MBT.L,Mobile Tornado Group plc,Technology,Software Application,0.00,0.42 - 0.65,0.55 - 0.85,0.13 - 0.43,0.60,8248.11,750049,5,1.392,6
*_,MCB.L,McBride plc,Consumer Defensive,Household & Personal Products,0.00,121.65 - 124.20,124.20 - 125.68,2.55 - 4.03,121.20,299.75,312500,4,1.318,4
*_,MCG.L,Mobico Group Plc,Industrials,Railroads,0.60,33.99 - 37.18,34.64 - 37.86,0.65 - 3.87,33.82,412.85,3684664,6,1.1,5
*_,MCON.L,Mincon Group plc,Industrials,Tools & Accessories,0.50,34.50 - 34.50,35.10 - 35.70,0.60 - 1.20,34.00,259.20,8120,1,0.225,2
@_,MCT.L,Middlefield Canadian Income Ord,UNKNOWN,UNKNOWN,0.57,131.50 - 134.45,134.50 - 136.00,3.00 - 4.50,135.00,590.93,103740,3,UNKNOWN,7
@_,MEGP.L,ME Group International plc,Industrials,Business Equipment & Supplies,0.00,208.50 - 208.50,211.76 - 211.76,3.26 - 3.26,213.00,74.98,299583,4,0.682,1
*_,MER.L,Mears Group plc,Consumer Cyclical,Personal Services,0.00,379.50 - 385.00,385.50 - 400.00,6.00 - 20.50,367.50,336.00,346311,4,0.815,3
*_,MERC.L,Mercia Asset Management PLC,Financial Services,Asset Management,0.33,32.00 - 33.00,32.34 - 33.40,0.34 - 1.40,32.50,411.40,346899,4,0.961,6
@_,MET.L,Metir plc,Technology,Scientific & Technical Instruments,0.00,0.70 - 0.70,0.73 - 0.75,0.03 - 0.05,0.75,1285.56,481965,4,0.039,4
*_,MET1.L,Metals One PLC,Basic Materials,Other Industrial Metals & Mining,1.33,4.83 - 6.62,5.08 - 7.34,0.24 - 2.51,5.45,3110.30,68880904,9,-0.149,3
@_,MEX.L,Tortilla Mexican Grill plc,Consumer Cyclical,Restaurants,2.00,43.00 - 44.00,45.00 - 45.05,2.00 - 2.05,46.00,582.80,33532,2,-0.057,3
*_,MFAI.L,Mindflair Plc,Financial Services,Asset Management,0.33,0.90 - 0.90,0.93 - 0.94,0.03 - 0.04,0.82,609.21,4383327,6,1.236,3
@_,MFX.L,Manx Financial Group PLC,Financial Services,Banks Regional,0.22,30.56 - 31.33,31.50 - 32.75,0.94 - 2.19,31.50,1312.08,201827,4,0.609,9
@_,MGAM.L,Morgan Advanced Materials plc,Industrials,Specialty Industrial Machinery,0.80,193.41 - 204.50,197.84 - 207.00,4.43 - 13.59,204.50,407.25,742988,5,1.106,5
@_,MGCI.L,M&G Credit Income Investment Ord,Financial Services,Asset Management,1.00,94.13 - 94.13,95.40 - 95.40,1.27 - 1.27,94.29,67.31,443414,4,UNKNOWN,1
*_,MGNS.L,Morgan Sindall Group plc,Industrials,Engineering & Construction,0.33,4445.57 - 4515.00,4507.86 - 4575.00,62.29 - 129.43,4455.00,182.29,63739,3,1.103,3
@_,MHA.L,UNKNOWN,Industrials,Specialty Business Services,1.67,135.05 - 137.33,138.30 - 140.00,3.25 - 4.95,139.00,341.55,99488,3,UNKNOWN,3
@_,MHC.L,MyHealthChecked PLC,Healthcare,Medical Devices,0.00,10.00 - 10.39,10.15 - 10.50,0.15 - 0.50,10.50,514.83,20117,2,1.44,4
@_,MIDW.L,Midwich Group plc,Technology,Electronics & Computer Distribution,0.50,218.50 - 228.97,225.00 - 234.00,6.50 - 15.50,230.55,814.30,109163,3,0.499,6
*_,MII.L,Milton Capital Plc,Financial Services,Shell Companies,0.00,0.43 - 0.43,0.45 - 0.45,0.02 - 0.02,0.41,233.90,124523,3,-0.573,1
*_,MILA.L,Mila Resources Plc,Financial Services,Asset Management,0.75,0.48 - 0.51,0.52 - 0.54,0.04 - 0.05,0.47,1119.18,6158989,7,0.465,4
@_,MKA.L,Mkango Resources Ltd.,Basic Materials,Other Industrial Metals & Mining,2.00,34.00 - 34.15,36.00 - 44.11,2.00 - 10.11,43.75,1748.16,2662148,6,1.888,2
@_,MKS.L,Marks and Spencer Group plc,Consumer Cyclical,Department Stores,7.00,326.55 - 326.55,353.30 - 353.30,26.75 - 26.75,349.30,401.25,10745541,8,1.403,1
@_,MMIT.L,Mobius Investment Trust Ord,Financial Services,Asset Management,1.00,139.50 - 140.32,141.50 - 143.00,2.00 - 3.50,142.00,266.00,1140265,6,UNKNOWN,3
@_,MNDI.L,Mondi plc,Basic Materials,Paper & Paper Products,1.33,1051.00 - 1065.50,1071.00 - 1078.50,20.00 - 27.50,1071.00,210.00,1599515,6,0.762,3
@_,MNG.L,M&G plc,Financial Services,Asset Management,2.50,258.20 - 261.20,264.30 - 267.10,6.10 - 8.90,266.00,228.00,5365108,7,1.132,2
@_,MNKS.L,Monks Ord,Financial Services,Asset Management,4.00,1353.80 - 1360.50,1372.00 - 1386.00,18.20 - 32.20,1386.00,131.10,652416,5,UNKNOWN,2
@_,MNL.L,Manchester & London Ord,Financial Services,Asset Management,1.00,903.20 - 918.40,921.80 - 938.00,18.60 - 34.80,922.00,488.85,40934,2,UNKNOWN,5
@_,MONY.L,MONY Group plc,Communication Services,Internet Content & Information,1.50,197.30 - 197.80,201.60 - 202.20,4.30 - 4.90,200.00,217.50,869607,5,0.854,2
*_,MOON.L,Moonpig Group PLC,Consumer Cyclical,Specialty Retail,2.50,209.00 - 209.73,212.00 - 213.00,3.00 - 4.00,204.00,144.21,801494,5,1.106,2
@_,MOTR.L,Motorpoint Group Plc,Consumer Cyclical,Auto & Truck Dealerships,1.00,183.50 - 185.00,186.21 - 189.50,2.71 - 6.00,185.00,408.24,55684,3,0.691,4
*_,MPAC.L,Mpac Group plc,Industrials,Specialty Industrial Machinery,1.25,335.00 - 337.75,340.00 - 345.00,5.00 - 10.00,337.10,334.46,69463,3,0.287,4
*_,MPE.L,M.P. Evans Group PLC,Consumer Defensive,Farm Products,0.60,1292.93 - 1341.17,1310.00 - 1359.75,17.07 - 66.82,1305.00,379.92,69871,3,0.364,5
@_,MPL.L,Mercantile Ports & Logistics Limited,Industrials,Marine Shipping,1.00,1.45 - 1.45,1.60 - 1.60,0.15 - 0.15,1.60,517.20,132168,3,-0.094,1
@_,MRCH.L,Merchants Trust Ord,Financial Services,Asset Management,2.50,544.00 - 546.05,551.49 - 552.00,7.49 - 8.00,549.00,120.96,206883,4,UNKNOWN,2
@_,MRK.L,Marks Electrical Group PLC,Consumer Cyclical,Specialty Retail,0.00,59.00 - 59.53,60.50 - 60.50,1.50 - 1.50,60.50,536.50,11092,2,0.687,5
@_,MRO.L,Melrose Industries PLC,Industrials,Specialty Industrial Machinery,1.00,572.40 - 592.00,582.00 - 601.68,9.60 - 29.28,595.40,365.76,4483149,6,1.095,4
@_,MSI.L,MS INTERNATIONAL plc,Industrials,Conglomerates,1.00,1147.80 - 1275.00,1292.20 - 1300.00,144.40 - 152.20,1295.00,908.72,17877,2,-0.213,3
*_,MSLH.L,Marshalls plc,Basic Materials,Building Materials,1.33,203.00 - 204.50,206.00 - 207.00,3.00 - 4.00,188.60,219.12,849504,5,1.213,3
@_,MTC.L,Mothercare plc,Consumer Cyclical,Specialty Retail,1.00,2.80 - 2.80,3.14 - 4.00,0.34 - 1.20,3.12,3534.30,136959,3,0.274,3
*_,MTE.L,Montanaro European Smaller Ord,Financial Services,Asset Management,1.00,173.00 - 173.00,176.00 - 176.00,3.00 - 3.00,172.50,84.00,550608,5,UNKNOWN,1
@_,MTEC.L,Made Tech Group Plc,Technology,Information Technology Services,0.40,33.75 - 40.75,37.80 - 41.48,4.05 - 7.73,40.00,1322.78,639398,5,0.848,5
*_,MTL.L,Metals Exploration plc,Basic Materials,Gold,1.25,13.68 - 13.94,13.94 - 14.20,0.27 - 0.52,13.74,390.37,4068221,6,-0.442,4
@_,MTO.L,Mitie Group plc,Industrials,Specialty Business Services,2.00,143.20 - 146.00,145.60 - 147.80,2.40 - 4.60,145.60,210.80,3540888,6,1.193,3
@_,MTRO.L,Metro Bank Holdings PLC,Financial Services,Banks Regional,1.25,107.69 - 111.40,109.40 - 113.00,1.71 - 5.31,113.86,375.96,2662122,6,2.095,4
*_,MTU.L,Montanaro UK Smaller Companies Ord,Financial Services,Asset Management,0.00,99.91 - 99.91,101.20 - 101.20,1.29 - 1.29,99.50,64.50,307373,4,UNKNOWN,1
@_,MUL.L,Mulberry Group plc,Consumer Cyclical,Footwear & Accessories,1.00,88.90 - 89.25,92.50 - 102.00,3.60 - 13.10,100.00,1560.16,3615,1,1.155,4
*_,MUT.L,Murray Income Trust Ord,Financial Services,Asset Management,2.00,888.00 - 888.00,899.40 - 899.40,11.40 - 11.40,884.25,57.00,168452,3,UNKNOWN,1
*_,MWE.L,M.T.I Wireless Edge Ltd.,Technology,Communication Equipment,0.20,45.50 - 47.00,46.60 - 48.47,1.10 - 2.97,45.00,599.85,204648,4,0.931,5
@_,MYI.L,Murray International Ord,Financial Services,Asset Management,3.00,287.42 - 290.00,292.69 - 293.39,5.27 - 5.98,292.49,147.22,578578,5,UNKNOWN,2
@_,MYX.L,MYCELX Technologies Corporation,Industrials,Pollution & Treatment Controls,5.00,22.30 - 22.30,24.00 - 24.00,1.70 - 1.70,24.00,380.80,52266,3,1.125,1
@_,N4P.L,N4 Pharma Plc,Healthcare,Drug Manufacturers Specialty & Generic,0.17,0.40 - 0.49,0.50 - 0.50,0.10 - 0.10,0.45,7644.52,915936,5,0.627,12
@_,N91.L,Ninety One Group,Financial Services,Asset Management,1.75,189.65 - 194.30,193.60 - 196.70,3.95 - 7.05,193.70,287.70,448962,4,0.674,4
@_,NAH.L,NAHL Group Plc,Communication Services,Advertising Agencies,1.00,53.75 - 55.00,55.00 - 56.02,1.25 - 2.27,56.25,346.55,56680,3,0.197,3
@_,NAIT.L,North American Income Trust Ord,Financial Services,Asset Management,1.67,336.70 - 338.00,340.33 - 342.00,3.63 - 5.30,338.50,167.30,465571,4,UNKNOWN,3
*_,NANO.L,Nanoco Group plc,Technology,Semiconductor Equipment & Materials,0.67,13.14 - 13.48,13.45 - 13.95,0.31 - 0.81,13.45,947.33,209742,4,0.252,6
@_,NAR.L,Northamber plc,Technology,Electronics & Computer Distribution,0.00,30.12 - 30.12,31.00 - 31.00,0.88 - 0.88,31.00,146.08,531,1,-0.154,1
@_,NARF.L,Narf Industries Plc,Technology,Software Infrastructure,0.00,0.55 - 0.57,0.59 - 0.65,0.04 - 0.10,0.60,2475.41,2119799,6,0.105,5
@_,NAS.L,North Atlantic Smaller Cos Ord,Financial Services,Asset Management,1.00,377.00 - 381.24,383.00 - 386.50,6.00 - 9.50,381.00,296.53,70512,3,UNKNOWN,4
@_,NAVF.L,Nippon Active Value Ord,Financial Services,Asset Management,2.33,216.53 - 218.70,219.95 - 224.00,3.42 - 7.47,222.50,270.28,225505,4,UNKNOWN,3
@_,NBB.L,Norman Broadbent plc,Industrials,Staffing & Employment Services,1.00,195.00 - 195.00,205.00 - 205.00,10.00 - 10.00,200.00,250.00,1086,1,-0.202,1
*_,NBPE.L,NB Private Equity Partners Class A Ord,Financial Services,Asset Management,0.00,1440.00 - 1446.00,1464.00 - 1466.00,24.00 - 26.00,1416.00,132.00,74712,3,UNKNOWN,2
*_,NCC.L,NCC Group plc,Technology,Software Infrastructure,1.50,141.80 - 143.20,143.80 - 145.00,2.00 - 3.20,140.20,131.20,657367,5,0.686,2
@_,NCYF.L,CQS New City High Yield Ord,Financial Services,Asset Management,0.00,50.40 - 50.83,51.04 - 51.40,0.64 - 1.00,51.00,175.08,1172116,6,UNKNOWN,3
@_,NCYT.L,Novacyt S.A.,Healthcare,Medical Devices,1.00,37.47 - 38.38,38.90 - 46.10,1.44 - 8.64,40.85,1388.31,154264,3,0.099,3
*_,NESF.L,NextEnergy Solar Ord,Financial Services,Asset Management,1.33,75.56 - 76.00,76.38 - 78.27,0.82 - 2.71,75.48,260.82,1736871,6,UNKNOWN,3
@_,NET.L,Netcall plc,Technology,Software Application,0.25,118.00 - 119.00,119.51 - 120.49,1.51 - 2.49,119.50,226.80,78632,3,-0.141,4
@_,NEXS.L,Nexus Infrastructure plc,Industrials,Engineering & Construction,0.00,150.25 - 150.25,153.50 - 153.50,3.25 - 3.25,153.50,107.25,423,1,0.616,1
@_,NFG.L,Next 15 Group plc,Communication Services,Advertising Agencies,0.00,260.00 - 262.88,265.00 - 270.50,5.00 - 10.50,270.15,296.78,150021,3,1.167,3
@_,NG.L,National Grid plc,Utilities,Utilities Regulated Electric,1.00,1033.00 - 1033.00,1050.00 - 1050.00,17.00 - 17.00,1045.50,68.00,6426327,7,0.305,1
@_,NICL.L,Nichols plc,Consumer Defensive,Beverages Non-Alcoholic,1.25,1145.00 - 1177.91,1171.25 - 1230.00,26.25 - 85.00,1201.20,525.56,42652,2,0.391,4
*_,NIOX.L,NIOX Group Plc,Healthcare,Medical Devices,0.75,66.60 - 71.00,69.00 - 71.80,2.40 - 5.20,67.00,395.04,1083032,6,0.51,4
@_,NOG.L,Nostrum Oil & Gas PLC,Energy,Oil & Gas Integrated,0.00,3.00 - 3.10,3.36 - 3.58,0.36 - 0.58,3.25,3923.16,27577,2,0.546,5
@_,NRR.L,NewRiver REIT plc,Real Estate,REIT Retail,1.67,70.30 - 72.00,72.90 - 75.10,2.60 - 4.80,73.50,465.00,596894,5,0.525,3
@_,NTBR.L,Northern Bear PLC,Industrials,Building Products & Equipment,0.80,96.50 - 103.50,101.30 - 105.50,4.80 - 9.00,104.00,828.33,75780,3,0.13,5
@_,NTEA.L,Northern Electric PLC,Utilities,Utilities Regulated Electric,3.00,129.50 - 130.50,131.00 - 132.00,1.50 - 2.50,131.00,114.00,28849,2,UNKNOWN,2
@_,NTVO.L,Nativo Resources plc,Basic Materials,Other Precious Metals & Mining,3.00,0.28 - 0.28,0.85 - 0.85,0.58 - 0.58,0.49,10363.17,93352949,9,0.35,1
@_,NWBD.L,UNKNOWN,UNKNOWN,UNKNOWN,6.00,1.47 - 1.47,1.50 - 1.50,0.03 - 0.03,1.50,102.03,UNKNOWN,0,UNKNOWN,1
@_,NWF.L,NWF Group plc,Energy,Oil & Gas Refining & Marketing,1.75,167.04 - 168.00,169.28 - 170.00,2.24 - 2.96,170.00,264.48,37715,2,0.117,4
@_,NWG.L,NatWest Group plc,Financial Services,Banks Regional,3.00,513.40 - 537.00,537.20 - 554.60,23.80 - 41.20,546.20,372.60,22616271,8,0.99,2
@_,NXQ.L,Nexteq plc,Consumer Cyclical,Gambling,1.25,70.50 - 73.00,74.54 - 75.00,4.04 - 4.50,73.00,707.12,94158,3,0.755,4
@_,NXR.L,Norcros plc,Industrials,Building Products & Equipment,0.33,277.00 - 283.00,282.73 - 295.00,5.73 - 18.00,293.00,440.42,117554,3,0.827,3
